City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,punta arenas,-53.15,-70.9167,276.15,90,100,2.35,CL,1691621299
83,tibati,6.4667,12.6333,293.09,95,100,0.5,CM,1691621299
84,cabo san lucas,22.8909,-109.9124,307.62,66,100,2.06,MX,1691621299
85,suya,9.4667,3.1833,294.89,98,100,3.39,NG,1691621300
86,ribadesella,43.4614,-5.0596,295.34,89,20,3.08,ES,1691621300
87,mwanza,-2.5167,32.9,295.82,63,32,1.26,TZ,1691621300
88,gamay,12.3854,125.2979,301.16,79,100,3.86,PH,1691621300
89,nikolayevsk-on-amure,53.1406,140.73,291.17,65,55,1.1,RU,1691621300
90,san luis de la loma,17.2706,-100.8939,303.06,75,100,0.72,MX,1691621301
91,port mathurin,-19.6833,63.4167,295.9,69,0,7.2,MU,1691621301
92,vernon,50.2581,-119.2691,299.6,65,100,1.34,CA,1691621069
93,rameswaram,9.2833,79.3,300.54,85,100,7.88,IN,1691621301
94,atafu village,-8.5421,-172.5159,301.51,78,95,6.22,TK,1691621301
95,santa marta,11.2408,-74.199,301.98,83,75,4.02,CO,1691621301
96,crucecita,-28.95,-58.9833,289.91,81,52,2.79,AR,1691621302
97,margaret river,-33.95,115.0667,283.55,83,100,1.99,AU,1691621219
98,east london,-33.0153,27.9116,290.46,77,46,7.48,ZA,1691621302
99,whitehorse,60.7161,-135.0538,294.32,40,75,5.66,CA,1691621272
100,ventura,34.4667,-119.0176,297.99,66,39,0.89,US,1691621302
101,moa,20.6569,-74.9403,302.34,80,100,4.63,CU,1691621302
102,jinghong,21.991,100.7341,294.65,100,100,0.4,CN,1691621303
103,ribeira brava,32.65,-17.0667,297.5,79,5,1.14,PT,1691621303
104,mawlamyinegyunn,16.3833,95.2667,298.03,92,97,2.39,MM,1691621303
105,bandarbeyla,9.4942,50.8122,297.68,79,99,12.38,SO,1691621021
106,khabarovsk,48.4808,135.0928,291.04,82,40,6.0,RU,1691621303
107,moyobamba,-6.05,-76.9667,295.14,80,39,0.52,PE,1691621304
108,trairi,-3.2778,-39.2689,298.4,85,77,4.64,BR,1691621304
109,papatowai,-46.5619,169.4708,277.19,86,96,3.4,NZ,1691621305
110,olonkinbyen,70.9221,-8.7187,279.22,99,100,4.06,SJ,1691621305
111,barra de santo antonio,-9.4047,-35.5072,296.75,79,66,4.99,BR,1691621305
112,colares,38.7992,-9.4469,295.24,84,20,7.15,PT,1691621305
113,kuta,-8.7233,115.1723,296.12,83,40,1.03,ID,1691621306
114,el bauga,18.262,33.9081,304.46,46,93,6.14,SD,1691621306
115,minas de marcona,-15.2119,-75.1103,287.64,76,4,5.45,PE,1691621306
116,aasiaat,68.7098,-52.8699,277.34,84,12,4.18,GL,1691621306
117,bilibino,68.0546,166.4372,287.24,39,99,2.04,RU,1691621306
118,roma,43.2128,-75.4557,299.23,55,0,5.14,US,1691621244
119,skelleftea,64.7507,20.9528,287.35,100,20,2.06,SE,1691621307
120,avarua,-21.2078,-159.775,297.18,73,100,8.23,CK,1691621307
121,touros,-5.1989,-35.4608,297.77,81,65,7.23,BR,1691621075
122,happy valley-goose bay,53.3168,-60.3315,290.32,82,100,3.6,CA,1691621307
123,libreville,0.3925,9.4537,298.16,88,20,3.6,GA,1691621307
124,st. john's,47.5649,-52.7093,286.36,89,100,5.66,CA,1691621308
125,tiksi,71.6872,128.8694,291.86,45,15,3.11,RU,1691621308
126,villa gesell,-37.2639,-56.973,285.4,94,84,3.9,AR,1691621308
127,hami,42.8,93.45,300.36,30,16,6.13,CN,1691621013
